step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,22.1,4.216508907665326,15,29,0.5091962691615628,0.036827129052230144,0.4295774647887324,0.5789473684210527,1.215625,0.07253345416898471,1.1125,1.375,0.18762691191983122,0.02362418949324742,0.13876488095238096,0.22532738095238097,0.5154141459447222,0.036009185836845974,0.4663677130044843,0.5813953488372093,5.0,3.1288134626740733,1,12
1,21.35,3.7874446322164586,15,27,0.511864379969889,0.023263559631225617,0.4657534246575342,0.5714285714285714,1.215,0.06889637527704773,1.125,1.3625,0.19134300595238093,0.023317203000738553,0.1407142857142857,0.22782738095238098,0.5183918952262718,0.04166421880409761,0.453781512605042,0.5813953488372093,5.3,3.2943332525637667,1,11
2,21.05,3.7623480910057654,15,27,0.5127686974829814,0.028257879141045154,0.4444444444444444,0.5732484076433121,1.2125,0.07565503427086864,1.1,1.375,0.19105729166666668,0.024246882037113837,0.1407142857142857,0.22708333333333336,0.5223322839996991,0.04077257762054624,0.4579831932773109,0.5868544600938967,5.0,3.2927352251825375,1,10
3,20.9,3.683533772429891,15,27,0.5130937919252814,0.031261196505302784,0.43333333333333335,0.5806451612903226,1.216875,0.07918945886124512,1.0875,1.3875,0.19030208333333334,0.025361198346151553,0.1407142857142857,0.22708333333333336,0.5239488239418311,0.04162695354479096,0.4560669456066946,0.5944700460829493,5.35,3.6458339598996954,1,13
4,20.55,3.410124245305596,15,27,0.5123100321336784,0.03166898608865976,0.43333333333333335,0.5714285714285714,1.22125,0.07555714115123315,1.1125,1.3875,0.19167765785111512,0.02346061930979284,0.1407142857142857,0.22708333333333336,0.5257548330036861,0.04133215409942399,0.4560669456066946,0.5944700460829493,5.5,3.5466811765960937,1,13
5,20.4,3.5153797429071743,15,27,0.5136244637893187,0.032948596630580064,0.43333333333333335,0.5714285714285714,1.2193749999999999,0.07889814803376498,1.1125,1.3875,0.19242691380349608,0.02444240657837219,0.1397470238095238,0.22708333333333336,0.5270610646687304,0.04103297954947989,0.453781512605042,0.5944700460829493,5.6,3.604091242492416,1,13
6,20.2,3.1887961760877057,15,26,0.5130482053510189,0.034093202959899274,0.43333333333333335,0.5723684210526315,1.221875,0.07682805049007331,1.1125,1.3875,0.19341649713682943,0.02362068291710819,0.13616071428571427,0.22708333333333336,0.5294220754090745,0.03848779100657385,0.453781512605042,0.5944700460829493,5.75,3.3697571363370886,2,13
7,20.25,3.2424000207773305,15,26,0.5132496760707561,0.03474049819667493,0.43333333333333335,0.5789473684210527,1.220625,0.07676379954804625,1.1125,1.3875,0.19281902689873417,0.02334516212752287,0.1436607142857143,0.22708333333333336,0.529083735435335,0.03880467938069586,0.453781512605042,0.5944700460829493,5.7,3.404331606088121,2,13
8,20.6875,3.0489069079480493,16,26,0.5171222336813038,0.03570383450798468,0.43333333333333335,0.5789473684210527,1.20234375,0.0711832655310689,1.1125,1.3875,0.1873974815400844,0.02140431752860563,0.1436607142857143,0.22531249999999997,0.5218253202086566,0.03825885491456034,0.453781512605042,0.5944700460829493,5.0625,3.530226621620771,1,13
9,21.333333333333332,2.7413776673693677,17,26,0.526722643336942,0.029113379844099153,0.49019607843137253,0.5789473684210527,1.1770833333333333,0.04850999584590472,1.1125,1.275,0.18211901308519188,0.019154803466193474,0.1436607142857143,0.20584821428571426,0.5068436467482254,0.029954296155855376,0.453781512605042,0.5656108597285068,3.4166666666666665,1.6213537179739277,2,7
