metric,scenario,mean,se,chance,chance_sd,direction,excess,floor,at_chance
clusters,baseline,95.919,0.0846502242527839,96.12095,8.497430871391112,-1,0.20194999999999652,2.55,True
clusters,race_white_black,95.9904,0.08449783886276174,96.12095,8.497430871391112,-1,0.1305499999999995,2.55,True
clusters,ethnic_asian_hispanic,95.8674,0.08444213860080256,96.12095,8.497430871391112,-1,0.25354999999998995,2.55,True
clusters,income_high_low,95.3478,0.08537430757106802,96.12095,8.497430871391112,-1,0.7731499999999869,2.55,True
clusters,political_liberal_conservative,92.9288,0.08844792456319116,96.12095,8.497430871391112,-1,3.192149999999998,2.55,False
clusters,green_yellow,96.0745,0.0843943553546182,96.12095,8.497430871391112,-1,0.046449999999993,2.55,True
switch_rate,baseline,0.5017177259195372,0.00019982344018496488,0.5019598856758957,0.01994623900032337,-1,0.0002421597563584399,0.00598,True
switch_rate,race_white_black,0.5019298669009052,0.00019943949899205965,0.5019598856758957,0.01994623900032337,-1,3.0018774990425712e-05,0.00598,True
switch_rate,ethnic_asian_hispanic,0.5016632603666158,0.0001996539540151525,0.5019598856758957,0.01994623900032337,-1,0.0002966253092798743,0.00598,True
switch_rate,income_high_low,0.501674078864135,0.0002006207958781676,0.5019598856758957,0.01994623900032337,-1,0.00028580681176071376,0.00598,True
switch_rate,political_liberal_conservative,0.5016940848977086,0.00020178681138711803,0.5019598856758957,0.01994623900032337,-1,0.00026580077818705306,0.00598,True
switch_rate,green_yellow,0.5016851797982168,0.0001996149291703112,0.5019598856758957,0.01994623900032337,-1,0.00027470587767886023,0.00598,True
distance,baseline,1.1519821875,0.00026996677065605726,1.1508834375,0.026682912009809948,1,0.0010987499999999262,0.008,True
distance,race_white_black,1.1513696875,0.0002680484129857045,1.1508834375,0.026682912009809948,1,0.00048624999999979934,0.008,True
distance,ethnic_asian_hispanic,1.1520003125,0.00026912762130936976,1.1508834375,0.026682912009809948,1,0.0011168749999999061,0.008,True
distance,income_high_low,1.15438125,0.00027739031335799106,1.1508834375,0.026682912009809948,1,0.0034978124999998084,0.008,True
distance,political_liberal_conservative,1.1655974999999998,0.00030665813393518664,1.1508834375,0.026682912009809948,1,0.014714062499999736,0.008,False
distance,green_yellow,1.1511796875,0.0002674801394898068,1.1508834375,0.026682912009809948,1,0.0002962499999998869,0.008,True
mix_deviation,baseline,0.1679593368060983,0.00010056905324507079,0.16775411712663657,0.0100359417673305,1,0.00020521967946174335,0.00301,True
mix_deviation,race_white_black,0.16773071234698178,9.995313423600534e-05,0.16775411712663657,0.0100359417673305,1,-2.340477965478982e-05,0.00301,True
mix_deviation,ethnic_asian_hispanic,0.16794966398879346,0.00010038840275279131,0.16775411712663657,0.0100359417673305,1,0.00019554686215689232,0.00301,True
mix_deviation,income_high_low,0.16810083327134767,0.00010155674652760483,0.16775411712663657,0.0100359417673305,1,0.0003467161447111011,0.00301,True
mix_deviation,political_liberal_conservative,0.16858306108128374,0.00010472443163076739,0.16775411712663657,0.0100359417673305,1,0.0008289439546471655,0.00301,True
mix_deviation,green_yellow,0.167898784186583,0.00010023280982360302,0.16775411712663657,0.0100359417673305,1,0.00014466705994642393,0.00301,True
share,baseline,0.4987792775191325,0.00016387983165425338,0.49825691827893814,0.01612120219609784,1,0.0005223592401943367,0.00484,True
share,race_white_black,0.4983161479963061,0.00016278479793267086,0.49825691827893814,0.01612120219609784,1,5.922971736793681e-05,0.00484,True
share,ethnic_asian_hispanic,0.4988089018399202,0.00016341911002070282,0.49825691827893814,0.01612120219609784,1,0.0005519835609820722,0.00484,True
share,income_high_low,0.5001175749431965,0.00016605533747765592,0.49825691827893814,0.01612120219609784,1,0.0018606566642583866,0.00484,True
share,political_liberal_conservative,0.5054294355238184,0.00017281184911114054,0.49825691827893814,0.01612120219609784,1,0.007172517244880217,0.00484,False
share,green_yellow,0.49839290589560215,0.00016313228258732135,0.49825691827893814,0.01612120219609784,1,0.00013598761666400172,0.00484,True
ghetto_rate,baseline,9.2696,0.04039746006221119,9.0887,3.95168484328584,1,0.18090000000000117,1.19,True
ghetto_rate,race_white_black,9.2009,0.040207158324831356,9.0887,3.95168484328584,1,0.11220000000000141,1.19,True
ghetto_rate,ethnic_asian_hispanic,9.2667,0.04031996628183235,9.0887,3.95168484328584,1,0.17800000000000082,1.19,True
ghetto_rate,income_high_low,9.6187,0.041650504288072494,9.0887,3.95168484328584,1,0.5300000000000011,1.19,True
ghetto_rate,political_liberal_conservative,11.4059,0.0475487182483472,9.0887,3.95168484328584,1,2.3172000000000015,1.19,False
ghetto_rate,green_yellow,9.1433,0.03997644709866377,9.0887,3.95168484328584,1,0.05460000000000065,1.19,True
dissimilarity_index,baseline,0.12517562499999998,0.0003343240134443442,0.1254171875,0.03341776513048351,1,-0.00024156250000001434,0.01,True
dissimilarity_index,race_white_black,0.12489562499999997,0.0003330297728340469,0.1254171875,0.03341776513048351,1,-0.0005215625000000307,0.01,True
dissimilarity_index,ethnic_asian_hispanic,0.12522875,0.00033415424320151164,0.1254171875,0.03341776513048351,1,-0.00018843749999999937,0.01,True
dissimilarity_index,income_high_low,0.12607624999999997,0.0003372050682738279,0.1254171875,0.03341776513048351,1,0.0006590624999999739,0.01,True
dissimilarity_index,political_liberal_conservative,0.12936374999999997,0.0003476180679652132,0.1254171875,0.03341776513048351,1,0.003946562499999973,0.01,True
dissimilarity_index,green_yellow,0.12494562499999998,0.00033329128141726774,0.1254171875,0.03341776513048351,1,-0.0004715625000000223,0.01,True
