step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,24.1,2.2827858224351907,21,28,0.4708438287291671,0.05043722224387343,0.4,0.5540540540540541,1.2175,0.063519463333865,1.1125,1.3,0.19934970238095234,0.027806146095713757,0.1562797619047619,0.2345833333333333,0.5325060866189888,0.04887297687931083,0.4716157205240174,0.6093023255813953,4.8,2.936362072739365,2,11
1,24.7,2.213594362117866,22,29,0.4922713694063899,0.04478845311729676,0.4042553191489361,0.5533333333333333,1.2049999999999998,0.09056151991264771,1.0875,1.4,0.18825744047619047,0.041320219419788945,0.1183630952380952,0.2764136904761905,0.5215445177528857,0.05196568663479047,0.45662100456621,0.6363636363636364,4.7,4.473378042498879,0,15
2,21.9,3.212821536005731,18,27,0.4711621970910069,0.03416091789542964,0.422077922077922,0.5324675324675324,1.2449999999999999,0.08105210943858543,1.125,1.4,0.20623174728752258,0.027111954751552213,0.1605208333333333,0.2545089285714286,0.5492290936406442,0.046213490151181584,0.4859813084112149,0.6334841628959276,5.6,3.7178249316263163,1,14
3,22.7,3.4657049948186747,18,29,0.5024762677594234,0.020208654975002602,0.474025974025974,0.54,1.205,0.06433419688539592,1.1125,1.3125,0.20330564345991556,0.01680184110533805,0.176838456901748,0.2355334538878843,0.5343618659721049,0.034182188846242384,0.4697674418604651,0.6043478260869565,5.4,3.238655413730965,1,13
4,23.4,2.4129281427805145,20,28,0.4758914471868659,0.038963652842363625,0.4102564102564102,0.5180722891566265,1.2262499999999998,0.06493853931902756,1.1125,1.3125,0.20349851190476187,0.02350503094425223,0.1563392857142857,0.2460714285714285,0.5403394274149289,0.04381739385583189,0.4697674418604651,0.6192660550458715,5.1,2.8460498941515415,0,9
5,21.8,2.936362072739365,17,26,0.45167878433881015,0.03669460293242639,0.3841059602649007,0.5,1.2775,0.07945124291035349,1.1875,1.4,0.223078869047619,0.029986500806781016,0.1651041666666666,0.2681994047619048,0.5726381465112179,0.05367273154983015,0.4976744186046511,0.6542056074766355,6.9,3.9285281382896233,2,13
6,21.7,2.79085809185793,16,27,0.458820453739332,0.05264835418071067,0.4044117647058823,0.5466666666666666,1.2675,0.08704245452012993,1.125,1.3875,0.2219404761904762,0.03329257564669607,0.1669047619047619,0.2777083333333333,0.5722618807684663,0.046423620674883447,0.4774774774774775,0.6323529411764706,7.0,3.681787005729087,2,14
7,20.9,3.212821536005731,14,24,0.4717258900093215,0.03482924969640161,0.4064516129032258,0.5098039215686274,1.25,0.0520416499866533,1.15,1.3125,0.21391346443640744,0.01781272893593938,0.188735119047619,0.2438667872212176,0.5572787405471356,0.027310630186945555,0.5263157894736842,0.6018518518518519,5.9,1.449137674618944,3,8
8,20.8,2.973961069759395,17,26,0.45867734304047814,0.03509537235109761,0.3950617283950617,0.5031847133757962,1.28375,0.06096731820318894,1.175,1.3625,0.23227542947558769,0.01142267804761918,0.2191531042796866,0.2564136904761905,0.5907360328182425,0.02421316800053282,0.5575221238938053,0.6394230769230769,7.1,3.1780497164141406,3,12
9,21.7,3.4334951418181574,15,26,0.4485364835876946,0.0421891519708405,0.3885350318471338,0.5,1.27125,0.10866136234497835,1.1625,1.55,0.2179338456901748,0.026630188594823342,0.1784672619047619,0.2536458333333333,0.5750766030318154,0.04835323337929141,0.5069124423963134,0.6666666666666666,7.5,4.1163630117428225,2,16
