clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,dissimilarity_index,scenario
28,0.5620915032679739,1.1375,0.1499404761904761,0.4639639639639639,1,7,81,0.175,llm_baseline
25,0.4761904761904761,1.1875,0.1816815476190476,0.5231481481481481,6,6,82,0.2249999999999999,llm_baseline
35,0.4266666666666667,1.0875,0.1615178571428571,0.4541284403669725,0,6,83,0.125,llm_baseline
29,0.5333333333333333,1.1625,0.1506398809523809,0.5022421524663677,4,6,84,0.1749999999999999,llm_baseline
37,0.4305555555555556,1.1375,0.1529315476190476,0.4567307692307692,1,6,85,0.2499999999999999,llm_baseline
24,0.5032258064516129,1.2875,0.1901295961422544,0.5422222222222223,8,4,86,,llm_baseline
23,0.5253164556962026,1.2,0.1695684523809524,0.5246636771300448,5,4,87,,llm_baseline
24,0.4052287581699346,1.3,0.2386458333333333,0.5405405405405406,11,5,88,,llm_baseline
30,0.5140845070422535,1.125,0.1784523809523809,0.5096153846153846,3,4,89,,llm_baseline
26,0.4934210526315789,1.1375,0.1830505952380952,0.4729729729729729,2,4,90,,llm_baseline
29,0.4933333333333333,1.075,0.1544196428571428,0.4337899543378995,0,4,91,,llm_baseline
29,0.5357142857142857,1.1375,0.1845238095238095,0.4716981132075472,3,4,92,,llm_baseline
24,0.4805194805194805,1.225,0.1725892857142857,0.5227272727272727,4,4,93,,llm_baseline
27,0.5342465753424658,1.1,0.1713095238095238,0.4764150943396226,0,4,94,,llm_baseline
24,0.541095890410959,1.1375,0.1988839285714286,0.5235849056603774,4,4,95,,llm_baseline
31,0.3815789473684211,1.2125,0.1903571428571428,0.5023041474654378,4,4,96,,llm_baseline
29,0.5208333333333334,1.225,0.164985119047619,0.5141509433962265,3,4,97,,llm_baseline
30,0.5,1.125,0.1731547619047619,0.3923444976076555,2,4,98,,llm_baseline
25,0.506578947368421,1.1625,0.1547470238095238,0.4729729729729729,1,4,99,,llm_baseline
23,0.5466666666666666,1.2125,0.1791964285714285,0.5141509433962265,6,4,10,,ethnic_asian_hispanic
30,0.496551724137931,1.1625,0.1829464285714285,0.5048076923076923,0,4,11,,ethnic_asian_hispanic
24,0.538961038961039,1.125,0.1762053571428571,0.4434389140271493,3,4,12,,ethnic_asian_hispanic
33,0.4527027027027027,1.1375,0.1682589285714285,0.5023255813953489,3,4,13,,ethnic_asian_hispanic
28,0.5364238410596026,1.125,0.1598214285714285,0.4770642201834862,2,4,14,,ethnic_asian_hispanic
32,0.4927536231884058,1.15,0.1443898809523809,0.4926829268292683,1,4,15,,ethnic_asian_hispanic
27,0.46875,1.1625,0.1949255952380952,0.4913043478260869,3,4,16,,ethnic_asian_hispanic
25,0.5069444444444444,1.2,0.1824553571428571,0.4813084112149532,3,4,17,,ethnic_asian_hispanic
22,0.4527027027027027,1.2125,0.1822023809523809,0.5330188679245284,4,4,18,,ethnic_asian_hispanic
26,0.512987012987013,1.1625,0.1780654761904762,0.5114155251141552,5,4,19,,ethnic_asian_hispanic
25,0.4594594594594595,1.1875,0.1442410714285714,0.5046296296296297,1,4,20,,ethnic_asian_hispanic
27,0.5285714285714286,1.2,0.210625,0.5242718446601942,6,4,21,,ethnic_asian_hispanic
