scenario,mean_di,se,chance_di,excess,ci95_low,ci95_high,at_chance
political_liberal_conservative,0.37890062499999994,0.000910783563480308,0.1254171875,0.2534834374999999,0.3771154892155785,0.38068576078442135,False
income_high_low,0.35536,0.0008883779243844668,0.1254171875,0.2299428125,0.35361877926820645,0.35710122073179357,False
baseline,0.354155625,0.0008769426985616527,0.1254171875,0.22873843749999997,0.35243681731081916,0.3558744326891808,False
green_yellow,0.345516875,0.000859554515022094,0.1254171875,0.2200996875,0.3438321481505567,0.3472016018494433,False
race_white_black,0.29883062499999996,0.0007825188930100853,0.1254171875,0.17341343749999996,0.2972968879697002,0.3003643620302997,False
ethnic_asian_hispanic,0.156414375,0.00042684192989237704,0.1254171875,0.030997187499999995,0.15557776481741092,0.15725098518258906,False
