metric,scenario,mean,se,chance,chance_sd,direction,excess,floor,at_chance
clusters,baseline,18.3911,0.043293896973494034,96.2095,8.60619794517508,-1,77.8184,2.58,False
clusters,race_white_black,27.3789,0.06423617444719729,96.2095,8.60619794517508,-1,68.8306,2.58,False
clusters,ethnic_asian_hispanic,76.2108,0.09922399344960678,96.2095,8.60619794517508,-1,19.9987,2.58,False
clusters,income_high_low,17.7528,0.04286342197368672,96.2095,8.60619794517508,-1,78.45670000000001,2.58,False
clusters,political_liberal_conservative,13.615,0.03339953671692604,96.2095,8.60619794517508,-1,82.59450000000001,2.58,False
clusters,green_yellow,17.5542,0.0423738809950075,96.2095,8.60619794517508,-1,78.65530000000001,2.58,False
switch_rate,baseline,0.2897067965245222,0.00039724407130894366,0.501556241714362,0.02018475712840763,-1,0.21184944518983978,0.00606,False
switch_rate,race_white_black,0.3600889928424303,0.0004126929834881592,0.501556241714362,0.02018475712840763,-1,0.14146724887193168,0.00606,False
switch_rate,ethnic_asian_hispanic,0.493908251097968,0.00022530454132051048,0.501556241714362,0.02018475712840763,-1,0.007647990616393985,0.00606,False
switch_rate,income_high_low,0.2858529017179516,0.0004055278591395003,0.501556241714362,0.02018475712840763,-1,0.2157033399964104,0.00606,False
switch_rate,political_liberal_conservative,0.2482345847608251,0.00038291995761992033,0.501556241714362,0.02018475712840763,-1,0.25332165695353687,0.00606,False
switch_rate,green_yellow,0.2989839891666521,0.0004014821039293582,0.501556241714362,0.02018475712840763,-1,0.20257225254770989,0.00606,False
distance,baseline,2.0919571875000003,0.0023715334659035964,1.151671875,0.026811440154268996,1,0.9402853125000004,0.00804,False
distance,race_white_black,1.8139737500000004,0.0018335326659682032,1.151671875,0.026811440154268996,1,0.6623018750000005,0.00804,False
distance,ethnic_asian_hispanic,1.256335,0.0005259672899492037,1.151671875,0.026811440154268996,1,0.10466312500000008,0.00804,False
distance,income_high_low,2.1028912500000003,0.0023708108962624654,1.151671875,0.026811440154268996,1,0.9512193750000004,0.00804,False
distance,political_liberal_conservative,2.2425734375,0.002588101653068571,1.151671875,0.026811440154268996,1,1.0909015625,0.00804,False
distance,green_yellow,2.0558125,0.0022502022680805224,1.151671875,0.026811440154268996,1,0.9041406250000001,0.00804,False
mix_deviation,baseline,0.3247828442514741,0.00022822577561218345,0.16804165537609134,0.009987115898067873,1,0.15674118887538274,0.003,False
mix_deviation,race_white_black,0.2829231762424895,0.0002517286946175153,0.16804165537609134,0.009987115898067873,1,0.11488152086639819,0.003,False
mix_deviation,ethnic_asian_hispanic,0.17843564577731078,0.00013835342571667434,0.16804165537609134,0.009987115898067873,1,0.010393990401219438,0.003,False
mix_deviation,income_high_low,0.32643909941665733,0.00023296251396928594,0.16804165537609134,0.009987115898067873,1,0.158397444040566,0.003,False
mix_deviation,political_liberal_conservative,0.3458007918302527,0.00021639963505856293,0.16804165537609134,0.009987115898067873,1,0.17775913645416136,0.003,False
mix_deviation,green_yellow,0.3188558973424205,0.00023272365270975338,0.16804165537609134,0.009987115898067873,1,0.15081424196632914,0.003,False
share,baseline,0.8045145607102951,0.00026613961444242666,0.4988667467284049,0.016183931695733234,1,0.3056478139818902,0.00486,False
share,race_white_black,0.7443897031606639,0.00032175606172133944,0.4988667467284049,0.016183931695733234,1,0.24552295643225897,0.00486,False
share,ethnic_asian_hispanic,0.5463079379991373,0.000216414555149135,0.4988667467284049,0.016183931695733234,1,0.04744119127073243,0.00486,False
share,income_high_low,0.8063566511656384,0.00027517093983576687,0.4988667467284049,0.016183931695733234,1,0.30748990443723345,0.00486,False
share,political_liberal_conservative,0.8346877850113742,0.00024401634567499053,0.4988667467284049,0.016183931695733234,1,0.3358210382829693,0.00486,False
share,green_yellow,0.7981329168308197,0.00027250007588113147,0.4988667467284049,0.016183931695733234,1,0.29926617010241474,0.00486,False
ghetto_rate,baseline,143.3094,0.20798392460786372,9.2215,3.9291419964687213,1,134.08790000000002,1.18,False
ghetto_rate,race_white_black,108.2628,0.20951005480001725,9.2215,3.9291419964687213,1,99.04129999999999,1.18,False
ghetto_rate,ethnic_asian_hispanic,25.7831,0.0841218942268232,9.2215,3.9291419964687213,1,16.5616,1.18,False
ghetto_rate,income_high_low,144.6585,0.21212031321334543,9.2215,3.9291419964687213,1,135.437,1.18,False
ghetto_rate,political_liberal_conservative,163.0221,0.20326104561441777,9.2215,3.9291419964687213,1,153.8006,1.18,False
ghetto_rate,green_yellow,139.6437,0.20838449424259975,9.2215,3.9291419964687213,1,130.4222,1.18,False
dissimilarity_index,baseline,0.354155625,0.0008769426985616527,0.1254171875,0.03341776513048351,1,0.22873843749999997,0.01,False
dissimilarity_index,race_white_black,0.29883062499999996,0.0007825188930100853,0.1254171875,0.03341776513048351,1,0.17341343749999996,0.01,False
dissimilarity_index,ethnic_asian_hispanic,0.156414375,0.00042684192989237704,0.1254171875,0.03341776513048351,1,0.030997187499999995,0.01,False
dissimilarity_index,income_high_low,0.35536,0.0008883779243844668,0.1254171875,0.03341776513048351,1,0.2299428125,0.01,False
dissimilarity_index,political_liberal_conservative,0.37890062499999994,0.000910783563480308,0.1254171875,0.03341776513048351,1,0.2534834374999999,0.01,False
dissimilarity_index,green_yellow,0.345516875,0.000859554515022094,0.1254171875,0.03341776513048351,1,0.2200996875,0.01,False
