label,scenario,role,n_similar,n_occupied,sequential_p,sequential_range,concurrent_mean,concurrent_sd,concurrent_min,concurrent_max,interleaved_mean,interleaved_sd,interleaved_min,interleaved_max,campaign_p,campaign_n,campaign_ci_low,campaign_ci_high,campaign_minus_sequential,seq_sampling_p,seq_sampling_n,seq_sampling_ci_low,seq_sampling_ci_high,sequential_inside_seq_sampling_ci
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,0.3652921508170085,0.0,0.560156779294255,0.0,0.560156779294255,0.560156779294255,0.515487243747487,0.06707231229999021,0.3652921508170085,0.560156779294255,0.45314452311536857,2401,0.433323152907964,0.47311559133198916,0.08785237229836007,0.34,300,0.2887193090239354,0.3953265885753401,True
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,0.4811033606533375,0.0,0.5972573459151492,0.12131888090573312,0.4811033606533375,0.7134113311769609,0.6812940418905877,0.09621459194871466,0.4811033606533375,0.7926198007877292,0.5875802997858672,2335,0.5674851898526588,0.607387704489566,0.10647693913252976,0.47,300,0.414257807168565,0.5265007986312991,True
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,0.25544086860050136,0.0,0.363871732028959,0.10964534517959794,0.23544057502131666,0.5457718372352575,0.34669462646046395,0.08917368987909083,0.23544057502131666,0.5457718372352575,0.4056643065389421,2401,0.3861893122191748,0.42544069285059777,0.15022343793844073,0.22333333333333333,300,0.1798706282757476,0.27379206965633285,True
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,8,0.4532448486464735,0.0,0.6810160592973951,0.11533154889032012,0.4532448486464735,0.8221143957658587,0.6263870087505395,0.14178727075481956,0.4532448486464735,0.8221143957658587,0.603404255319149,2350,0.5834721012493596,0.6229988864330742,0.15015940667267547,0.4533333333333333,300,0.3979441581242692,0.5099025620088528,True
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,6,0.5042399318293636,0.0,0.5965657402377804,0.05396264983001154,0.5042399318293636,0.6778290069752395,0.5669807303087571,0.07441438319132829,0.4095362424854116,0.6778290069752395,0.6074259491030455,2397,0.587719722766953,0.626788389721601,0.10318601727368193,0.5366666666666666,300,0.4801310310375517,0.5922751174292809,True
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,3,0.37213969230687227,0.0,0.3076231841689396,0.07270135391524842,0.23418765119040888,0.38202977180518666,0.30523933619667326,0.07471628321870145,0.19481261984110398,0.3879004534457091,0.29653579676674363,2165,0.2776706690604183,0.31612170378967835,-0.07560389554012864,0.35333333333333333,300,0.30140739106432274,0.4089680150683464,True
granite-4.2-30b-chat-grammar,baseline,blue,0,4,0.2518589719579078,0.0,0.3189297066330475,0.06663640189674273,0.22863246159834816,0.42650818824799025,0.29487221675526937,0.0627517677625392,0.22863246159834816,0.37461193279616684,0.294468085106383,2350,0.27638660676485605,0.3132204424095659,0.04260911314847521,0.24333333333333335,300,0.19822077770189378,0.29493618303027724,True
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,4,0.12228226007771538,0.0,0.22028484582970062,0.09295716159500649,0.12228226007771538,0.4019225239759427,0.1592968139230459,0.03175404161962485,0.12228226007771538,0.24079272868670337,0.19781854238968766,2017,0.18101509214150602,0.21577088059381377,0.07553628231197228,0.12,300,0.08795033863213894,0.16165866816614016,True
granite-4.2-30b-chat-grammar,baseline,red,0,8,0.04059953927112719,0.0,0.04059953927112719,0.0,0.04059953927112719,0.04059953927112719,0.04625324259182471,0.018509800450728225,0.03853962656584188,0.10204364876374618,0.05624404194470925,1049,0.04385243458978199,0.07187399567285202,0.015644502673582063,0.03666666666666667,300,0.02059509146818067,0.06445448699638771,True
granite-4.2-30b-chat-grammar,baseline,blue,0,7,0.9560179363642936,0.0,0.973200550552456,3.4787703908662606e-16,0.9732005505524564,0.9732005505524564,0.9622748496765133,0.009562783179903882,0.9479188777816597,0.9732005505524564,0.9475691134413727,1049,0.9323733630385693,0.9594986906492788,-0.008448822922920818,0.95,300,0.9191522802928904,0.9694686327091473,True
