label,scenario,role,n_similar,n_occupied,sequential_p,sequential_range,concurrent_mean,concurrent_sd,concurrent_min,concurrent_max,interleaved_mean,interleaved_sd,interleaved_min,interleaved_max,campaign_p,campaign_n,campaign_ci_low,campaign_ci_high,campaign_minus_sequential,seq_sampling_p,seq_sampling_n,seq_sampling_ci_low,seq_sampling_ci_high,sequential_inside_seq_sampling_ci
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,0.18969693216380373,0.0,0.42401373947014437,0.2836045425331957,0.15397704909840546,0.8781151509959105,0.28993066516414745,0.14939155362796191,0.1142125129873167,0.5517379045786426,0.5006247396917951,2401,0.4806397381052306,0.5206077453049034,0.3109278075279914,0.17,300,0.13172947235659208,0.21661519144191346,True
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,0.30932027115016825,0.0,0.4235599297422938,0.21022069973855842,0.14591507836389742,0.8150186417638199,0.406122181428215,0.1766246828568088,0.14591507836389742,0.7819725755090325,0.4785506039150354,2401,0.45861921637691394,0.49855051987515353,0.16923033276486715,0.2866666666666667,300,0.238445210315098,0.3402826531506026,True
llama-3.3-70b-chat-grammar,income_high_low,red,3,8,0.24631941323155393,0.0,0.4605957928782242,0.2282420538057323,0.16501939301775592,0.8415247076659179,0.47246264661793363,0.14740034588225018,0.16501939301775592,0.8415247076659179,0.5364431486880467,2401,0.5164539809610789,0.5563158846300686,0.2901237354564927,0.21,300,0.16772109488365303,0.25961209451503364,True
llama-3.3-70b-chat-grammar,income_high_low,blue,1,7,0.5611565709454216,0.0,0.5056748582616217,0.10465083980928107,0.36065616133579204,0.6832643151706163,0.5789242805781244,0.11294402347126196,0.4361210298073318,0.6832643151706163,0.5610162432319866,2401,0.5410838729611931,0.5807536734285565,-0.0001403277134349734,0.5633333333333334,300,0.5067581755681922,0.6183069899654279,True
llama-3.3-70b-chat-grammar,income_high_low,blue,1,6,0.28494582434334237,0.0,0.2983528377190253,0.1393855580688638,0.11284809645970519,0.5284307599366497,0.23540611839050285,0.07719202355661994,0.15275953940592432,0.3383998673989935,0.4102457309454394,2401,0.39072917848084554,0.4300490382632428,0.12529990660209706,0.31,300,0.260342665745168,0.3644618376539715,True
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,7,0.3411262232113482,0.0,0.15806792733281808,0.13966857855820747,0.00835449796761536,0.41280752424771955,0.15028701162553396,0.1271714561042193,0.05166275016883987,0.4074881253750847,0.39235066609368285,2327,0.37270456836378435,0.41235161048594954,0.05122444288233463,0.32666666666666666,300,0.27607755922349825,0.38163882984238345,True
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,6,0.11997406365209053,0.0,0.1997531123105707,0.11409385121092573,0.017803723095843035,0.3983936310216412,0.23650375078096106,0.11251714743042225,0.1383144259730062,0.5693289468295878,0.3856726364014994,2401,0.36639981653606596,0.40531071940942004,0.2656985727494089,0.12666666666666668,300,0.09369172511697449,0.16908203594800147,True
llama-3.3-70b-chat-grammar,baseline,blue,1,3,0.6434255647159633,0.0,0.6564573024950774,0.12343232129289892,0.5213664615343703,0.819241225754494,0.5759506686056441,0.02416248945646972,0.5048979075897055,0.6086285892123678,0.6630570595585172,2401,0.6439032883961049,0.6816898816488577,0.019631494842553887,0.6433333333333333,300,0.5876287210234448,0.6954134957105376,True
llama-3.3-70b-chat-grammar,baseline,red,1,4,0.9922615294326492,0.0,0.9941081591111746,0.008302189335233799,0.9765423354450077,0.9989055812091803,0.9882371311750324,0.01101471201636822,0.9732828085948924,0.9986368849866606,0.997979797979798,495,0.9886463646494017,0.9996433048569107,0.0057182685471487416,1.0,300,0.9873565700022643,0.9999999999999999,True
llama-3.3-70b-chat-grammar,political_liberal_conservative,red,1,4,0.941465244590269,0.0,0.8825425650141137,0.07838909799065777,0.7475828529228012,0.9804817602545229,0.9032685244223703,0.05138984937115445,0.7855952861876002,0.961844973566082,0.9448924731182796,744,0.926093293480006,0.959120901611575,0.003427228528010584,0.94,300,0.90715983751747,0.9617139440845225,True
