clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,dissimilarity_index,scenario
23,0.5466666666666666,1.1875,0.1522916666666666,0.4858490566037736,1,999,0,0.15,llm_baseline
27,0.5033112582781457,1.2,0.2052827380952381,0.5162790697674419,5,999,1,0.3,llm_baseline
30,0.4802631578947368,1.1625,0.1685863095238095,0.4954545454545455,2,999,2,0.175,llm_baseline
28,0.5802469135802469,1.075,0.1459970238095237,0.4608695652173913,1,999,3,0.2,llm_baseline
27,0.4726027397260274,1.1375,0.1640327380952381,0.4838709677419355,2,999,4,0.2,llm_baseline
26,0.5066666666666667,1.1625,0.1565625,0.4930232558139535,3,999,5,0.2749999999999999,llm_baseline
30,0.4901960784313725,1.1,0.1701785714285714,0.4729729729729729,1,999,6,0.325,llm_baseline
22,0.4903225806451612,1.175,0.1632142857142857,0.4909090909090909,1,999,7,0.0999999999999999,llm_baseline
33,0.5328947368421053,1.1375,0.1584821428571428,0.4770642201834862,3,999,8,0.325,llm_baseline
25,0.48,1.2125,0.1930654761904762,0.5186915887850467,7,999,9,0.35,llm_baseline
30,0.5,1.1125,0.1666071428571428,0.431924882629108,3,999,0,0.3,ethnic_asian_hispanic
32,0.4533333333333333,1.15,0.1949255952380952,0.4813084112149532,0,999,1,0.275,ethnic_asian_hispanic
26,0.5379746835443038,1.0875,0.1488244047619047,0.4713656387665198,1,999,2,0.15,ethnic_asian_hispanic
32,0.5899280575539568,1.1375,0.1638095238095238,0.4575471698113207,2,999,3,0.25,ethnic_asian_hispanic
26,0.4589041095890411,1.2125,0.1679761904761904,0.5118483412322274,2,999,4,0.2499999999999999,ethnic_asian_hispanic
30,0.4933333333333333,1.1125,0.1533482142857142,0.463302752293578,2,999,5,0.1999999999999999,ethnic_asian_hispanic
23,0.551948051948052,1.1375,0.1706845238095238,0.5067264573991032,3,999,6,0.3249999999999999,ethnic_asian_hispanic
34,0.3673469387755102,1.2375,0.1967708333333333,0.536697247706422,5,999,7,0.2749999999999999,ethnic_asian_hispanic
30,0.4585987261146497,1.25,0.1522321428571428,0.5173913043478261,5,999,8,0.2,ethnic_asian_hispanic
28,0.5125,1.1625,0.1642857142857142,0.5,3,999,9,0.1999999999999999,ethnic_asian_hispanic
20,0.5743243243243243,1.1875,0.164360119047619,0.514018691588785,5,999,0,0.1249999999999999,green_yellow
32,0.5405405405405406,1.1,0.1376488095238095,0.4511627906976744,2,999,1,0.225,green_yellow
23,0.5357142857142857,1.1875,0.1704464285714285,0.4813278008298755,5,999,2,0.25,green_yellow
28,0.4866666666666667,1.125,0.1858779761904761,0.4796380090497738,1,999,3,0.25,green_yellow
29,0.4897959183673469,1.125,0.1519590114526823,0.4537037037037037,1,999,4,0.25,green_yellow
23,0.4866666666666667,1.1875,0.1976934523809523,0.5068493150684932,4,999,5,0.4,green_yellow
26,0.4802631578947368,1.1875,0.1631994047619047,0.5,1,999,6,0.25,green_yellow
39,0.46,1.0875,0.1447321428571428,0.4454545454545454,0,999,7,0.2249999999999999,green_yellow
25,0.5294117647058824,1.2125,0.1579716696805304,0.5225225225225225,6,999,8,0.35,green_yellow
24,0.5209580838323353,1.125,0.1433630952380952,0.4957264957264957,0,999,9,0.15,green_yellow
26,0.4857142857142857,1.1625,0.1788095238095238,0.4722222222222222,3,999,0,0.125,income_high_low
31,0.4802631578947368,1.1375,0.1801190476190476,0.5,3,999,1,0.2749999999999999,income_high_low
29,0.6111111111111112,1.1125,0.1355952380952381,0.4647887323943662,1,999,2,0.125,income_high_low
31,0.5472972972972973,1.1375,0.1711309523809523,0.4976744186046511,3,999,3,0.225,income_high_low
22,0.4903225806451612,1.1875,0.1950723327305605,0.4977777777777777,3,999,4,0.275,income_high_low
27,0.5205479452054794,1.15,0.1864583333333333,0.5211267605633803,5,999,5,0.2749999999999999,income_high_low
33,0.4375,1.1875,0.1798511904761905,0.490566037735849,2,999,6,0.25,income_high_low
25,0.5067567567567568,1.2,0.1720684523809524,0.5209302325581395,3,999,7,0.3,income_high_low
30,0.4904458598726114,1.15,0.1787648809523809,0.5067264573991032,3,999,8,0.3,income_high_low
29,0.4366197183098591,1.1625,0.1702232142857143,0.4906542056074766,1,999,9,0.1499999999999999,income_high_low
25,0.5471698113207547,1.15,0.1358779761904762,0.4955357142857143,2,999,0,0.1999999999999999,political_liberal_conservative
24,0.4868421052631579,1.1625,0.1877529761904762,0.511520737327189,1,999,1,0.2499999999999999,political_liberal_conservative
22,0.4829931972789115,1.25,0.1886011904761904,0.4908256880733945,4,999,2,0.25,political_liberal_conservative
36,0.4428571428571428,1.1125,0.1587797619047619,0.4558139534883721,0,999,3,0.175,political_liberal_conservative
27,0.4743589743589743,1.125,0.1471875,0.4349775784753363,1,999,4,0.1999999999999999,political_liberal_conservative
33,0.4577464788732394,1.1625,0.1814434523809523,0.4903846153846153,0,999,5,0.225,political_liberal_conservative
26,0.4868421052631579,1.1375,0.1810565476190476,0.4541284403669725,3,999,6,0.2,political_liberal_conservative
26,0.4693877551020408,1.3,0.1758137432188065,0.5504587155963303,6,999,7,0.325,political_liberal_conservative
27,0.4901960784313725,1.225,0.1597172619047619,0.4821428571428571,3,999,8,0.375,political_liberal_conservative
24,0.5,1.2,0.1838392857142857,0.4933333333333333,4,999,9,0.3,political_liberal_conservative
30,0.4473684210526316,1.15,0.1729910714285714,0.4930875576036866,1,999,0,0.25,race_white_black
29,0.4533333333333333,1.15,0.183110119047619,0.5045871559633027,1,999,1,0.3,race_white_black
28,0.4774193548387097,1.125,0.1826190476190476,0.5133928571428571,2,999,2,0.275,race_white_black
26,0.5067567567567568,1.1625,0.1829464285714285,0.488479262672811,4,999,3,0.1999999999999999,race_white_black
24,0.5797101449275363,1.1875,0.1555059523809523,0.4759615384615384,3,999,4,0.1999999999999999,race_white_black
30,0.4722222222222222,1.175,0.1955803571428571,0.5446009389671361,2,999,5,0.3,race_white_black
30,0.5454545454545454,1.0875,0.1526339285714285,0.4604651162790698,1,999,6,0.1999999999999999,race_white_black
25,0.528169014084507,1.2625,0.1871577380952381,0.5209302325581395,5,999,7,0.175,race_white_black
25,0.4605263157894737,1.2,0.1827827380952381,0.4818181818181818,4,999,8,0.225,race_white_black
31,0.4370860927152318,1.225,0.2011011904761904,0.5441860465116279,6,999,9,0.275,race_white_black
5,0.2133333333333333,2.1625,0.3764136904761904,0.8685446009389671,48,11,0,0.525,mech_baseline
3,0.0779220779220779,3.2625,0.4321130952380952,0.9324324324324323,62,11,1,0.7,mech_baseline
2,0.2628205128205128,2.5625,0.3725892857142857,0.8407079646017699,48,11,2,0.7,mech_baseline
3,0.1158536585365853,2.975,0.4160714285714285,0.9156118143459916,57,13,3,0.8250000000000001,mech_baseline
6,0.2075471698113207,2.85,0.3839732142857143,0.8672566371681416,51,15,4,0.8,mech_baseline
3,0.1081081081081081,3.35,0.4135863095238095,0.9078341013824884,57,15,5,0.875,mech_baseline
2,0.0662650602409638,3.5875,0.4552083333333334,0.956896551724138,69,12,6,0.75,mech_baseline
6,0.2253521126760563,2.3875,0.3665773809523809,0.8660287081339713,46,13,7,0.7250000000000001,mech_baseline
4,0.173076923076923,2.325,0.3896130952380953,0.8854625550660793,49,14,8,0.725,mech_baseline
4,0.1447368421052631,2.65,0.4010714285714286,0.9,52,12,9,0.8500000000000001,mech_baseline
3,0.1168831168831168,2.9375,0.4188839285714286,0.91324200913242,58,15,10,0.7749999999999999,mech_baseline
6,0.2105263157894736,2.175,0.3660416666666666,0.852017937219731,48,18,11,0.6,mech_baseline
3,0.1527777777777778,2.6625,0.4060416666666667,0.9018691588785048,56,13,12,0.825,mech_baseline
7,0.2147651006711409,2.2375,0.3634374999999999,0.8538812785388128,45,10,13,0.5,mech_baseline
6,0.1592356687898089,2.5125,0.3919940476190476,0.8963963963963963,54,13,14,0.6,mech_baseline
2,0.1,3.225,0.4351488095238094,0.9272727272727272,63,19,15,0.675,mech_baseline
5,0.2258064516129032,2.05,0.3520386904761904,0.8447488584474886,44,12,16,0.625,mech_baseline
7,0.3356164383561644,1.6875,0.283125,0.7857142857142857,31,12,17,0.525,mech_baseline
3,0.1835443037974683,2.4375,0.3877083333333333,0.8883928571428571,51,13,18,0.725,mech_baseline
7,0.2808219178082192,1.8875,0.3202827380952381,0.8151658767772512,36,10,19,0.5,mech_baseline
4,0.1721854304635761,2.4875,0.3858184523809523,0.8863636363636364,49,12,20,0.75,mech_baseline
