clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,scenario
11,0.4069767441860465,1.35,0.2451041666666666,0.6422413793103449,15,150,0,llm_baseline
7,0.3433734939759036,1.7375,0.3026190476190476,0.7149122807017544,23,123,1,llm_baseline
9,0.293103448275862,1.8,0.3097470238095238,0.7727272727272727,25,169,2,llm_baseline
9,0.2603550295857988,1.9625,0.3506101190476191,0.7913043478260869,35,346,3,llm_baseline
12,0.3771428571428571,1.5875,0.2711309523809523,0.6995884773662552,20,220,4,llm_baseline
14,0.4090909090909091,1.3375,0.242514880952381,0.6311475409836066,12,136,5,llm_baseline
10,0.2710843373493976,1.9,0.3491517857142857,0.7577092511013216,32,153,6,llm_baseline
11,0.3522727272727273,1.525,0.2794345238095238,0.7213114754098361,17,184,7,llm_baseline
9,0.1964285714285714,2.3125,0.3723809523809523,0.8,39,185,8,llm_baseline
16,0.4472049689440994,1.5625,0.2370833333333333,0.6403508771929824,17,83,9,llm_baseline
9,0.3511904761904761,1.75,0.2984077380952381,0.7161016949152542,25,99,10,llm_baseline
19,0.3550295857988165,1.5,0.2624255952380953,0.6483050847457628,17,122,11,llm_baseline
11,0.3430232558139535,1.475,0.3095982142857142,0.7125,17,151,12,llm_baseline
21,0.4753086419753086,1.2625,0.2137202380952381,0.5733333333333334,5,54,13,llm_baseline
6,0.16875,2.325,0.3879017857142857,0.8565022421524664,48,138,14,llm_baseline
10,0.3670886075949367,1.7125,0.2918898809523809,0.6929824561403509,22,102,15,llm_baseline
10,0.3011363636363636,1.7625,0.3105803571428571,0.7178423236514523,27,85,16,llm_baseline
14,0.4790419161676646,1.4,0.2315178571428571,0.6008583690987125,12,129,17,llm_baseline
15,0.4124293785310734,1.45,0.22625,0.6300813008130082,14,86,18,llm_baseline
17,0.4093567251461988,1.425,0.2547769740807716,0.6610169491525424,17,141,19,llm_baseline
11,0.3536585365853658,1.975,0.2940625,0.7092511013215859,25,106,20,llm_baseline
23,0.3333333333333333,1.4625,0.258110119047619,0.6375,15,111,21,llm_baseline
22,0.4066666666666667,1.4,0.2562053571428571,0.6220095693779905,14,139,22,llm_baseline
18,0.3742690058479532,1.475,0.269077380952381,0.6224066390041494,15,72,23,llm_baseline
12,0.3105590062111801,1.8875,0.3181845238095238,0.70995670995671,27,138,24,llm_baseline
9,0.2366863905325443,2.05,0.3467410714285714,0.7468354430379747,35,140,25,llm_baseline
16,0.4319526627218935,1.4625,0.2482589285714285,0.6708860759493671,14,128,26,llm_baseline
9,0.3391812865497076,1.575,0.2759821428571428,0.70042194092827,17,232,27,llm_baseline
11,0.4101123595505618,1.375,0.2400595238095238,0.6244897959183674,13,299,28,llm_baseline
13,0.3253012048192771,1.7625,0.3192410714285714,0.7316017316017316,25,135,29,llm_baseline
21,0.2787878787878788,1.5875,0.2726934523809524,0.6709401709401709,21,74,30,llm_baseline
11,0.4093567251461988,1.325,0.2278028933092224,0.6297872340425532,9,63,31,llm_baseline
12,0.3235294117647059,1.4875,0.2984077380952381,0.6919831223628692,16,99,32,llm_baseline
15,0.4911242603550296,1.4,0.2174553571428571,0.6092436974789915,14,241,33,llm_baseline
11,0.3780487804878049,1.625,0.2758928571428571,0.6538461538461539,15,78,34,llm_baseline
17,0.35625,1.55,0.2753273809523809,0.6810344827586207,14,83,35,llm_baseline
19,0.3674698795180723,1.3125,0.2677232142857143,0.6535087719298246,12,179,36,llm_baseline
11,0.408284023668639,1.4875,0.2413095238095238,0.603448275862069,14,30,37,llm_baseline
14,0.4945054945054945,1.3,0.2279464285714285,0.564,7,57,38,llm_baseline
16,0.4539877300613497,1.375,0.2333482142857143,0.6200873362445415,12,131,39,llm_baseline
17,0.4294117647058823,1.3875,0.2553869047619047,0.6234309623430963,10,56,40,llm_baseline
9,0.3526011560693641,1.575,0.294077380952381,0.7416666666666667,23,245,41,llm_baseline
15,0.303030303030303,1.5875,0.2972023809523809,0.7,20,130,42,llm_baseline
13,0.4034090909090909,1.35,0.2447767857142856,0.6131687242798354,8,104,43,llm_baseline
9,0.2965116279069767,1.75,0.3303869047619047,0.7637130801687764,28,314,44,llm_baseline
11,0.2764705882352941,1.9375,0.3332722832722833,0.7489361702127659,33,116,45,llm_baseline
26,0.4518072289156626,1.1875,0.1962499999999999,0.5695652173913044,6,25,46,llm_baseline
14,0.3636363636363636,1.525,0.2739434523809524,0.7063829787234043,16,121,47,llm_baseline
15,0.3764705882352941,1.6125,0.2717261904761905,0.6371308016877637,18,41,48,llm_baseline
13,0.35,1.6,0.309657738095238,0.7111111111111111,24,110,49,llm_baseline
24,0.4642857142857143,1.2,0.169375,0.5189873417721519,4,73,50,llm_baseline
12,0.4233128834355828,1.475,0.2396577380952381,0.6311111111111111,13,53,51,llm_baseline
15,0.3809523809523809,1.3875,0.2812797619047619,0.6694915254237288,11,72,52,llm_baseline
16,0.4311377245508982,1.3375,0.2479957805907173,0.6239316239316239,9,88,53,llm_baseline
13,0.4090909090909091,1.4125,0.2646279761904762,0.654320987654321,14,68,54,llm_baseline
13,0.4629629629629629,1.3625,0.2492708333333333,0.6444444444444445,14,99,55,llm_baseline
17,0.3963414634146341,1.5,0.2332291666666666,0.6462882096069869,16,140,56,llm_baseline
18,0.3833333333333333,1.475,0.2415029761904762,0.6209677419354839,18,83,57,llm_baseline
8,0.3109756097560975,1.775,0.333125,0.7379912663755459,31,180,58,llm_baseline
17,0.4742857142857143,1.225,0.1985565476190476,0.5850622406639004,7,94,59,llm_baseline
12,0.2711864406779661,1.9,0.3369345238095239,0.7551020408163265,27,292,60,llm_baseline
15,0.45,1.45,0.2592708333333333,0.6576576576576577,18,89,61,llm_baseline
12,0.2345679012345679,1.975,0.3724553571428571,0.7964601769911505,36,166,62,llm_baseline
15,0.2925170068027211,2.2,0.3321726190476191,0.7603686635944701,31,389,63,llm_baseline
14,0.4011976047904191,1.4625,0.2685565476190476,0.6738197424892703,16,144,64,llm_baseline
12,0.3160919540229885,1.975,0.3014136904761905,0.75,26,170,65,llm_baseline
10,0.3976608187134502,1.4875,0.2676934523809524,0.6736401673640168,20,127,66,llm_baseline
13,0.3352601156069364,1.5875,0.2985863095238095,0.7107438016528925,21,352,67,llm_baseline
24,0.4715909090909091,1.2125,0.1928571428571428,0.55,8,100,68,llm_baseline
12,0.3218390804597701,1.4875,0.293110119047619,0.6919831223628692,18,155,69,llm_baseline
13,0.4235294117647059,1.475,0.2581977094635322,0.6893617021276596,20,189,70,llm_baseline
17,0.3,1.625,0.2961904761904762,0.7076271186440678,19,123,71,llm_baseline
12,0.2822085889570552,1.725,0.3382911392405064,0.7391304347826086,28,257,72,llm_baseline
18,0.4125,1.3375,0.2178869047619047,0.5803571428571429,10,70,73,llm_baseline
17,0.4857142857142857,1.2625,0.2048511904761905,0.5743801652892562,6,52,74,llm_baseline
10,0.2616279069767442,2.05,0.3367410714285714,0.7957446808510639,37,202,75,llm_baseline
19,0.4161849710982659,1.3125,0.2421428571428571,0.5809128630705395,10,113,76,llm_baseline
14,0.43646408839779,1.3375,0.2297317661241712,0.631578947368421,10,109,77,llm_baseline
15,0.3571428571428571,1.65,0.2704017857142857,0.6860986547085202,17,221,78,llm_baseline
11,0.4597701149425287,1.3125,0.2203422619047619,0.5875,10,42,79,llm_baseline
18,0.2716049382716049,1.95,0.3173958333333333,0.72,29,126,80,llm_baseline
8,0.2701149425287356,2.125,0.3448511904761904,0.7800829875518672,38,193,81,llm_baseline
9,0.2529411764705882,2.1125,0.325282738095238,0.7763713080168776,35,121,82,llm_baseline
19,0.4046242774566474,1.4125,0.2231163351416516,0.6016597510373444,13,88,83,llm_baseline
11,0.3371428571428571,1.65,0.3098958333333333,0.726530612244898,20,340,84,llm_baseline
14,0.4101123595505618,1.3875,0.2315327380952381,0.6016260162601627,15,61,85,llm_baseline
14,0.436046511627907,1.3,0.2315178571428571,0.603448275862069,10,120,86,llm_baseline
8,0.1419753086419753,2.4125,0.4091220238095238,0.8614718614718615,43,216,87,llm_baseline
7,0.227027027027027,2.0875,0.3663690476190476,0.8149606299212598,40,245,88,llm_baseline
17,0.3426966292134831,1.425,0.276889880952381,0.6465863453815262,13,85,89,llm_baseline
13,0.3372093023255814,1.4875,0.2944196428571428,0.7083333333333334,16,120,90,llm_baseline
21,0.3815789473684211,1.45,0.2570386904761904,0.627906976744186,13,134,91,llm_baseline
14,0.3674698795180723,1.6125,0.2932142857142857,0.6753246753246753,20,179,92,llm_baseline
13,0.4539877300613497,1.55,0.2490327380952381,0.6422413793103449,17,126,93,llm_baseline
7,0.1768292682926829,2.3375,0.4044196428571428,0.8666666666666667,48,370,94,llm_baseline
11,0.3764044943820224,1.5625,0.2856249999999999,0.7224489795918367,23,195,95,llm_baseline
15,0.3392857142857143,1.6375,0.3060863095238095,0.6973684210526315,21,159,96,llm_baseline
25,0.5416666666666666,1.325,0.1962499999999999,0.5635593220338984,11,45,97,llm_baseline
14,0.2897727272727273,1.5375,0.3125744047619047,0.7317073170731707,21,303,98,llm_baseline
12,0.3554216867469879,1.5625,0.3021130952380952,0.7008547008547008,18,90,99,llm_baseline
5,0.2133333333333333,2.1625,0.3764136904761904,0.8685446009389671,48,11,0,mech_baseline
3,0.0779220779220779,3.2625,0.4321130952380952,0.9324324324324323,62,11,1,mech_baseline
