run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,baseline,True,20,0.41875,17,0.25227963525835867,2.0625,0.33701636904761906,0.8258602711157456,159,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,24,25,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
1,baseline,True,38,0.49375,9,0.18788819875776397,2.45625,0.37628720238095237,0.8707627118644068,188,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,42,43,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
2,baseline,True,28,0.42500000000000004,18,0.26259541984732826,2.103125,0.33405505952380954,0.8220338983050848,152,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,32,33,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
3,baseline,True,15,0.25,11,0.23195084485407066,2.221875,0.35936011904761905,0.8466453674121406,174,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,19,20,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
4,baseline,True,6,0.2875,19,0.3106646058732612,1.828125,0.3041852678571429,0.7928118393234672,121,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,10,11,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
5,baseline,True,30,0.48125,13,0.20795107033639143,2.309375,0.3654501488095238,0.8615548455804047,179,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,34,35,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
6,baseline,True,11,0.34375,18,0.2907692307692308,2.153125,0.321811755952381,0.8008519701810437,141,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,15,16,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
7,baseline,True,28,0.38749999999999996,11,0.17794117647058824,2.58125,0.3804203869047619,0.8719262295081968,192,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,32,33,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
8,baseline,True,29,0.3375,10,0.23700305810397554,2.196875,0.3520014880952381,0.840042372881356,168,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,33,34,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
9,baseline,True,27,0.4125,14,0.2593167701863354,2.09375,0.3364880952380952,0.8272921108742004,155,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,31,32,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
10,baseline,True,21,0.41874999999999996,12,0.2308868501529052,2.215625,0.3572321428571429,0.848452508004269,168,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,25,26,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
11,baseline,True,50,0.375,12,0.19756838905775076,2.346875,0.35968005952380955,0.8574423480083857,172,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,54,55,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
12,baseline,True,31,0.475,12,0.21396054628224584,2.2125,0.35841517857142857,0.8503184713375797,173,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,35,36,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
13,baseline,True,14,0.5125000000000001,9,0.19538461538461538,2.58125,0.3778311011904762,0.8665254237288136,194,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,18,19,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
14,baseline,True,33,0.65625,9,0.18301610541727673,3.053125,0.3989508928571429,0.8875255623721882,213,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,37,38,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
15,baseline,True,33,0.375,13,0.2606060606060606,2.034375,0.3415066964285714,0.8277310924369747,161,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,37,38,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
16,baseline,True,46,0.425,10,0.24962406015037594,2.228125,0.3540736607142857,0.8420502092050209,162,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,50,51,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
17,baseline,True,35,0.3375,11,0.22205438066465258,2.246875,0.35716145833333335,0.8491155046826223,173,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,39,40,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
18,baseline,True,36,0.46875000000000006,8,0.1951588502269289,2.55625,0.37477678571428574,0.8663157894736843,196,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,40,41,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
19,baseline,True,22,0.38125,13,0.2321699544764795,2.240625,0.35599330357142855,0.8490566037735849,179,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,26,27,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
20,baseline,True,37,0.4437499999999999,14,0.25229357798165136,2.0875,0.34152901785714285,0.8303477344573235,156,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,41,42,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
21,baseline,True,27,0.5375000000000001,9,0.19523099850968703,2.615625,0.3788467261904762,0.871875,192,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,31,32,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
22,baseline,True,14,0.44375,11,0.21987951807228914,2.6875,0.3642075892857143,0.8510416666666667,187,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,18,19,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
23,baseline,True,24,0.38749999999999996,13,0.25787106446776614,2.109375,0.33472098214285717,0.8248175182481752,150,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,28,29,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
24,baseline,True,23,0.375,14,0.25116279069767444,2.29375,0.3514471726190476,0.8357894736842105,169,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,27,28,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
25,baseline,True,56,0.36250000000000004,13,0.22713414634146342,2.375,0.35893229166666674,0.8527865404837014,179,0.175,88,0.49074074074074076,1.190625,0.1879315476190476,0.5289778714436248,14,60,61,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
26,baseline,True,17,0.36875,15,0.2735562310030395,1.98125,0.3303869047619048,0.8171368861024033,146,0.1375,105,0.48043818466353677,1.16875,0.15899925595238093,0.5005268703898841,9,21,22,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
27,baseline,True,20,0.20625,17,0.3132530120481928,1.79375,0.29848958333333336,0.7863157894736842,121,0.1,80,0.5007824726134585,1.178125,0.17068824404761904,0.5095744680851064,6,24,25,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
28,baseline,True,28,0.40625,9,0.2089783281733746,2.20625,0.3586383928571429,0.8536585365853658,172,0.1375,94,0.5242424242424243,1.109375,0.1557105654761905,0.46764091858037576,1,32,33,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
29,baseline,True,16,0.38749999999999996,15,0.24961715160796324,2.071875,0.33874627976190474,0.8275499474237644,160,0.1375,84,0.4555052790346908,1.1875,0.19140625,0.5335429769392034,14,20,21,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
30,baseline,True,44,0.31250000000000006,13,0.25943396226415094,2.009375,0.3344047619047619,0.8232758620689655,143,0.1,97,0.48059701492537316,1.171875,0.1637127976190476,0.49373695198329853,7,48,49,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
31,baseline,True,28,0.46875,11,0.2075187969924812,2.365625,0.366015625,0.859375,181,0.125,99,0.4840182648401826,1.146875,0.1668340773809524,0.49269311064718163,8,32,33,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
32,baseline,True,34,0.3,17,0.29402985074626864,2.084375,0.3270386904761905,0.8122406639004149,145,0.16249999999999998,90,0.45622119815668205,1.190625,0.18597470238095237,0.5211864406779662,13,38,39,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
33,baseline,True,28,0.31875,16,0.30030959752321984,1.9,0.3134895833333333,0.7997858672376874,129,0.10000000000000002,85,0.4909365558912387,1.190625,0.16859002976190476,0.5052301255230126,15,32,33,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
34,baseline,True,27,0.375,12,0.2708018154311649,2.14375,0.3397098214285714,0.8243386243386244,156,0.13125,98,0.508500772797527,1.15,0.16924107142857142,0.4919786096256685,9,31,32,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
35,baseline,True,15,0.29374999999999996,12,0.2665639445300462,2.09375,0.33939732142857143,0.8176033934252386,148,0.11249999999999998,93,0.49697885196374625,1.14375,0.15364955357142857,0.48523206751054854,7,19,20,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
36,baseline,True,27,0.3375,10,0.24548192771084337,2.1375,0.35163318452380954,0.8412197686645636,172,0.125,83,0.48619631901840493,1.190625,0.17386532738095237,0.5204616998950682,9,31,32,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
37,baseline,True,13,0.35625,21,0.29754601226993865,1.921875,0.31014508928571427,0.793836344314559,127,0.08750000000000002,85,0.5402843601895735,1.175,0.16748883928571429,0.5,14,17,18,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
38,baseline,True,29,0.48125,13,0.21450151057401812,2.4,0.36634300595238095,0.8598326359832636,184,0.1875,88,0.4846153846153846,1.190625,0.18453125,0.5210084033613446,16,33,34,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
39,baseline,True,51,0.3375,13,0.20642201834862386,2.415625,0.36736979166666667,0.863013698630137,180,0.1625,96,0.43613707165109034,1.209375,0.20293526785714286,0.5291005291005291,17,55,56,converged,llm_baseline_20260906_092957,deepseek-v4-flash-vf-lp,live
