metric,scenario,mean,se,chance,chance_sd,direction,excess,floor,at_chance
clusters,baseline,14.029,0.03366584677271452,96.2095,8.60619794517508,-1,82.18050000000001,2.58,False
clusters,race_white_black,52.9251,0.087965691012346,96.2095,8.60619794517508,-1,43.284400000000005,2.58,False
clusters,ethnic_asian_hispanic,66.7816,0.09138832160912384,96.2095,8.60619794517508,-1,29.427900000000008,2.58,False
clusters,income_high_low,31.1361,0.0608265375125576,96.2095,8.60619794517508,-1,65.0734,2.58,False
clusters,political_liberal_conservative,10.5352,0.02491421617905692,96.2095,8.60619794517508,-1,85.6743,2.58,False
clusters,green_yellow,85.4725,0.09751541057971327,96.2095,8.60619794517508,-1,10.737000000000009,2.58,False
switch_rate,baseline,0.24984830530377236,0.00037719013749299666,0.501556241714362,0.02018475712840763,-1,0.25170793641058964,0.00606,False
switch_rate,race_white_black,0.4049277860597175,0.00032206801729875917,0.501556241714362,0.02018475712840763,-1,0.09662845565464445,0.00606,False
switch_rate,ethnic_asian_hispanic,0.4863884186013798,0.00022908567424304247,0.501556241714362,0.02018475712840763,-1,0.015167823112982148,0.00606,False
switch_rate,income_high_low,0.3503972078527741,0.00038706324959204537,0.501556241714362,0.02018475712840763,-1,0.15115903386158785,0.00606,False
switch_rate,political_liberal_conservative,0.18199025478201525,0.0003190804611482167,0.501556241714362,0.02018475712840763,-1,0.3195659869323467,0.00606,False
switch_rate,green_yellow,0.4994700688477532,0.00021351812500058223,0.501556241714362,0.02018475712840763,-1,0.002086172866608782,0.00606,True
distance,baseline,2.2188403125000002,0.0025264953613335743,1.151671875,0.026811440154268996,1,1.0671684375000003,0.00804,False
distance,race_white_black,1.500518125,0.0010870440463128896,1.151671875,0.026811440154268996,1,0.34884625,0.00804,False
distance,ethnic_asian_hispanic,1.31248375,0.0006119374955570191,1.151671875,0.026811440154268996,1,0.16081187500000005,0.00804,False
distance,income_high_low,1.8444412500000003,0.001948593464349396,1.151671875,0.026811440154268996,1,0.6927693750000004,0.00804,False
distance,political_liberal_conservative,2.49339625,0.0029885702477407687,1.151671875,0.026811440154268996,1,1.341724375,0.00804,False
distance,green_yellow,1.2034190624999999,0.00041074998295582337,1.151671875,0.026811440154268996,1,0.05174718749999996,0.00804,False
mix_deviation,baseline,0.3443869705153179,0.000215461055805557,0.16804165537609134,0.009987115898067873,1,0.17634531513922658,0.003,False
mix_deviation,race_white_black,0.25326805445892103,0.00020825218520556567,0.16804165537609134,0.009987115898067873,1,0.0852263990828297,0.003,False
mix_deviation,ethnic_asian_hispanic,0.18714837397909445,0.00014950358027519752,0.16804165537609134,0.009987115898067873,1,0.019106718603003114,0.003,False
mix_deviation,income_high_low,0.291667862485555,0.00023630172554490073,0.16804165537609134,0.009987115898067873,1,0.12362620710946365,0.003,False
mix_deviation,political_liberal_conservative,0.3793344113704488,0.0001817726665517449,0.16804165537609134,0.009987115898067873,1,0.21129275599435748,0.003,False
mix_deviation,green_yellow,0.17208372744976513,0.00011931726850770394,0.16804165537609134,0.009987115898067873,1,0.004042072073673797,0.003,False
share,baseline,0.8327727170110789,0.00024258257503507056,0.4988667467284049,0.016183931695733234,1,0.333905970282674,0.00486,False
share,race_white_black,0.6702382554379381,0.0003088880408588656,0.4988667467284049,0.016183931695733234,1,0.17137150870953322,0.00486,False
share,ethnic_asian_hispanic,0.5659775909959268,0.00021365661245006175,0.4988667467284049,0.016183931695733234,1,0.0671108442675219,0.00486,False
share,income_high_low,0.7491048188842945,0.00030135249377162115,0.4988667467284049,0.016183931695733234,1,0.25023807215588956,0.00486,False
share,political_liberal_conservative,0.8769302557039901,0.00019660376055433097,0.4988667467284049,0.016183931695733234,1,0.37806350897558516,0.00486,False
share,green_yellow,0.5233168888202575,0.00019971107383652857,0.4988667467284049,0.016183931695733234,1,0.02445014209185259,0.00486,False
ghetto_rate,baseline,160.8963,0.2033238025610105,9.2215,3.9291419964687213,1,151.6748,1.18,False
ghetto_rate,race_white_black,64.12,0.1635252703755757,9.2215,3.9291419964687213,1,54.898500000000006,1.18,False
ghetto_rate,ethnic_asian_hispanic,34.1461,0.09111347675050357,9.2215,3.9291419964687213,1,24.924599999999998,1.18,False
ghetto_rate,income_high_low,109.7849,0.20523443988895151,9.2215,3.9291419964687213,1,100.56339999999999,1.18,False
ghetto_rate,political_liberal_conservative,192.6839,0.18315619754261614,9.2215,3.9291419964687213,1,183.4624,1.18,False
ghetto_rate,green_yellow,17.322,0.06607547348918268,9.2215,3.9291419964687213,1,8.100499999999998,1.18,False
dissimilarity_index,baseline,0.3742525,0.0009113926503057303,0.1254171875,0.03341776513048351,1,0.2488353125,0.01,False
dissimilarity_index,race_white_black,0.25560249999999995,0.0006546409978825118,0.1254171875,0.03341776513048351,1,0.13018531249999996,0.01,False
dissimilarity_index,ethnic_asian_hispanic,0.17298249999999998,0.00046429095240360684,0.1254171875,0.03341776513048351,1,0.047565312499999984,0.01,False
dissimilarity_index,income_high_low,0.30813874999999996,0.0007996274618542843,0.1254171875,0.03341776513048351,1,0.18272156249999996,0.01,False
dissimilarity_index,political_liberal_conservative,0.42162562499999995,0.0009741749370065556,0.1254171875,0.03341776513048351,1,0.2962084374999999,0.01,False
dissimilarity_index,green_yellow,0.14066937499999999,0.00038446459120200694,0.1254171875,0.03341776513048351,1,0.015252187499999986,0.01,False
