clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,scenario
11,0.4069767441860465,1.35,0.2451041666666666,0.6422413793103449,15,150,0,baseline
7,0.3433734939759036,1.7375,0.3026190476190476,0.7149122807017544,23,123,1,baseline
9,0.293103448275862,1.8,0.3097470238095238,0.7727272727272727,25,169,2,baseline
9,0.2603550295857988,1.9625,0.3506101190476191,0.7913043478260869,35,346,3,baseline
12,0.3771428571428571,1.5875,0.2711309523809523,0.6995884773662552,20,220,4,baseline
14,0.4090909090909091,1.3375,0.242514880952381,0.6311475409836066,12,136,5,baseline
10,0.2710843373493976,1.9,0.3491517857142857,0.7577092511013216,32,153,6,baseline
11,0.3522727272727273,1.525,0.2794345238095238,0.7213114754098361,17,184,7,baseline
9,0.1964285714285714,2.3125,0.3723809523809523,0.8,39,185,8,baseline
16,0.4472049689440994,1.5625,0.2370833333333333,0.6403508771929824,17,83,9,baseline
9,0.3511904761904761,1.75,0.2984077380952381,0.7161016949152542,25,99,10,baseline
19,0.3550295857988165,1.5,0.2624255952380953,0.6483050847457628,17,122,11,baseline
11,0.3430232558139535,1.475,0.3095982142857142,0.7125,17,151,12,baseline
21,0.4753086419753086,1.2625,0.2137202380952381,0.5733333333333334,5,54,13,baseline
6,0.16875,2.325,0.3879017857142857,0.8565022421524664,48,138,14,baseline
10,0.3670886075949367,1.7125,0.2918898809523809,0.6929824561403509,22,102,15,baseline
10,0.3011363636363636,1.7625,0.3105803571428571,0.7178423236514523,27,85,16,baseline
14,0.4790419161676646,1.4,0.2315178571428571,0.6008583690987125,12,129,17,baseline
15,0.4124293785310734,1.45,0.22625,0.6300813008130082,14,86,18,baseline
17,0.4093567251461988,1.425,0.2547769740807716,0.6610169491525424,17,141,19,baseline
11,0.3536585365853658,1.975,0.2940625,0.7092511013215859,25,106,20,baseline
23,0.3333333333333333,1.4625,0.258110119047619,0.6375,15,111,21,baseline
22,0.4066666666666667,1.4,0.2562053571428571,0.6220095693779905,14,139,22,baseline
18,0.3742690058479532,1.475,0.269077380952381,0.6224066390041494,15,72,23,baseline
12,0.3105590062111801,1.8875,0.3181845238095238,0.70995670995671,27,138,24,baseline
9,0.2366863905325443,2.05,0.3467410714285714,0.7468354430379747,35,140,25,baseline
16,0.4319526627218935,1.4625,0.2482589285714285,0.6708860759493671,14,128,26,baseline
9,0.3391812865497076,1.575,0.2759821428571428,0.70042194092827,17,232,27,baseline
11,0.4101123595505618,1.375,0.2400595238095238,0.6244897959183674,13,299,28,baseline
13,0.3253012048192771,1.7625,0.3192410714285714,0.7316017316017316,25,135,29,baseline
21,0.2787878787878788,1.5875,0.2726934523809524,0.6709401709401709,21,74,30,baseline
11,0.4093567251461988,1.325,0.2278028933092224,0.6297872340425532,9,63,31,baseline
12,0.3235294117647059,1.4875,0.2984077380952381,0.6919831223628692,16,99,32,baseline
15,0.4911242603550296,1.4,0.2174553571428571,0.6092436974789915,14,241,33,baseline
11,0.3780487804878049,1.625,0.2758928571428571,0.6538461538461539,15,78,34,baseline
17,0.35625,1.55,0.2753273809523809,0.6810344827586207,14,83,35,baseline
19,0.3674698795180723,1.3125,0.2677232142857143,0.6535087719298246,12,179,36,baseline
11,0.408284023668639,1.4875,0.2413095238095238,0.603448275862069,14,30,37,baseline
14,0.4945054945054945,1.3,0.2279464285714285,0.564,7,57,38,baseline
16,0.4539877300613497,1.375,0.2333482142857143,0.6200873362445415,12,131,39,baseline
17,0.4294117647058823,1.3875,0.2553869047619047,0.6234309623430963,10,56,40,baseline
9,0.3526011560693641,1.575,0.294077380952381,0.7416666666666667,23,245,41,baseline
15,0.303030303030303,1.5875,0.2972023809523809,0.7,20,130,42,baseline
13,0.4034090909090909,1.35,0.2447767857142856,0.6131687242798354,8,104,43,baseline
9,0.2965116279069767,1.75,0.3303869047619047,0.7637130801687764,28,314,44,baseline
11,0.2764705882352941,1.9375,0.3332722832722833,0.7489361702127659,33,116,45,baseline
26,0.4518072289156626,1.1875,0.1962499999999999,0.5695652173913044,6,25,46,baseline
14,0.3636363636363636,1.525,0.2739434523809524,0.7063829787234043,16,121,47,baseline
15,0.3764705882352941,1.6125,0.2717261904761905,0.6371308016877637,18,41,48,baseline
13,0.35,1.6,0.309657738095238,0.7111111111111111,24,110,49,baseline
24,0.4642857142857143,1.2,0.169375,0.5189873417721519,4,73,50,baseline
12,0.4233128834355828,1.475,0.2396577380952381,0.6311111111111111,13,53,51,baseline
15,0.3809523809523809,1.3875,0.2812797619047619,0.6694915254237288,11,72,52,baseline
16,0.4311377245508982,1.3375,0.2479957805907173,0.6239316239316239,9,88,53,baseline
