clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id
27,0.4866666666666667,1.2375,0.19697916666666665,0.5639810426540285,6,0,0
27,0.4866666666666667,1.2375,0.19697916666666665,0.5639810426540285,6,1,0
27,0.4866666666666667,1.2375,0.19697916666666665,0.5639810426540285,6,2,0
27,0.4866666666666667,1.2375,0.19697916666666665,0.5639810426540285,6,3,0
27,0.4866666666666667,1.2375,0.19697916666666665,0.5639810426540285,6,4,0
25,0.5833333333333334,1.175,0.14808035714285714,0.4834123222748815,5,0,1
25,0.5833333333333334,1.175,0.14808035714285714,0.4834123222748815,5,1,1
25,0.5833333333333334,1.175,0.14808035714285714,0.4834123222748815,5,2,1
25,0.5833333333333334,1.175,0.14808035714285714,0.4834123222748815,5,3,1
25,0.5833333333333334,1.175,0.14808035714285714,0.4834123222748815,5,4,1
23,0.54,1.175,0.15440476190476188,0.47706422018348627,0,0,2
23,0.54,1.175,0.15440476190476188,0.47706422018348627,0,1,2
23,0.54,1.175,0.15440476190476188,0.47706422018348627,0,2,2
23,0.54,1.175,0.15440476190476188,0.47706422018348627,0,3,2
23,0.54,1.175,0.15440476190476188,0.47706422018348627,0,4,2
29,0.5510204081632653,1.125,0.16456845238095238,0.5023696682464455,4,0,3
29,0.5510204081632653,1.125,0.16456845238095238,0.5023696682464455,4,1,3
29,0.5510204081632653,1.125,0.16456845238095238,0.5023696682464455,4,2,3
29,0.5510204081632653,1.125,0.16456845238095238,0.5023696682464455,4,3,3
29,0.5510204081632653,1.125,0.16456845238095238,0.5023696682464455,4,4,3
25,0.4868421052631579,1.2625,0.1743154761904762,0.5429864253393665,6,0,4
25,0.4868421052631579,1.2625,0.1743154761904762,0.5429864253393665,6,1,4
25,0.4868421052631579,1.2625,0.1743154761904762,0.5429864253393665,6,2,4
25,0.4868421052631579,1.2625,0.1743154761904762,0.5429864253393665,6,3,4
25,0.4868421052631579,1.2625,0.1743154761904762,0.5429864253393665,6,4,4
29,0.4864864864864865,1.1625,0.18071428571428572,0.4977168949771689,1,0,5
29,0.4864864864864865,1.1625,0.18071428571428572,0.4977168949771689,1,1,5
29,0.4864864864864865,1.1625,0.18071428571428572,0.4977168949771689,1,2,5
29,0.4864864864864865,1.1625,0.18071428571428572,0.4977168949771689,1,3,5
29,0.4864864864864865,1.1625,0.18071428571428572,0.4977168949771689,1,4,5
23,0.49295774647887325,1.2875,0.20608630952380955,0.5502392344497608,11,0,6
23,0.49295774647887325,1.2875,0.20608630952380955,0.5502392344497608,11,1,6
23,0.49295774647887325,1.2875,0.20608630952380955,0.5502392344497608,11,2,6
23,0.49295774647887325,1.2875,0.20608630952380955,0.5502392344497608,11,3,6
23,0.49295774647887325,1.2875,0.20608630952380955,0.5502392344497608,11,4,6
29,0.5328947368421053,1.1125,0.16293154761904766,0.4863636363636364,1,0,7
29,0.5328947368421053,1.1125,0.16293154761904766,0.4863636363636364,1,1,7
29,0.5328947368421053,1.1125,0.16293154761904766,0.4863636363636364,1,2,7
29,0.5328947368421053,1.1125,0.16293154761904766,0.4863636363636364,1,3,7
29,0.5328947368421053,1.1125,0.16293154761904766,0.4863636363636364,1,4,7
32,0.44,1.175,0.15361607142857142,0.49321266968325794,3,0,8
32,0.44,1.175,0.15361607142857142,0.49321266968325794,3,1,8
32,0.44,1.175,0.15361607142857142,0.49321266968325794,3,2,8
32,0.44,1.175,0.15361607142857142,0.49321266968325794,3,3,8
32,0.44,1.175,0.15361607142857142,0.49321266968325794,3,4,8
19,0.5138888888888888,1.275,0.1798809523809524,0.5352112676056338,9,0,9
19,0.5138888888888888,1.275,0.1798809523809524,0.5352112676056338,9,1,9
19,0.5138888888888888,1.275,0.1798809523809524,0.5352112676056338,9,2,9
19,0.5138888888888888,1.275,0.1798809523809524,0.5352112676056338,9,3,9
