step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,28.5,0.7071067811865476,28,29,0.5044920832592066,0.06145199477132684,0.461038961038961,0.547945205479452,1.15,0.05303300858899095,1.1125,1.1875,0.17927083333333332,0.025485306905265178,0.16124999999999998,0.1972916666666667,0.4846204475647214,0.031616577886313835,0.46226415094339623,0.5069767441860465,3.0,4.242640687119285,0,6
1,29.0,4.242640687119285,26,32,0.4587519936204147,0.06261898568641636,0.4144736842105263,0.503030303030303,1.16875,0.04419417382415922,1.1375,1.2,0.1808110119047619,0.020445066604843177,0.16635416666666666,0.19526785714285713,0.48952660242982826,0.031104403864510917,0.4675324675324675,0.511520737327189,2.5,3.5355339059327378,0,5
2,26.0,0.0,26,26,0.4647619473778414,0.017054347371556686,0.4527027027027027,0.4768211920529801,1.2312500000000002,0.008838834764831735,1.225,1.2375,0.18229044228450875,0.01563805113373435,0.1712326702833032,0.19334821428571428,0.5012052268786737,0.0049040263929713565,0.497737556561086,0.5046728971962616,5.5,0.7071067811865476,5,6
3,27.5,2.1213203435596424,26,29,0.5186760691537762,0.0038926260474782914,0.5159235668789809,0.5214285714285715,1.15625,0.09722718241315041,1.0875,1.225,0.1738392857142857,0.025800979575437734,0.15559523809523806,0.19208333333333333,0.495523112208892,0.013130379096662679,0.48623853211009177,0.5048076923076923,4.0,2.8284271247461903,2,6
4,25.0,1.4142135623730951,24,26,0.5253632212536322,0.04555540574518568,0.4931506849315068,0.5575757575757576,1.2125,0.05303300858899111,1.175,1.25,0.1645982142857143,0.015425871149099395,0.15369047619047618,0.1755059523809524,0.5086853492684937,0.024580447967477943,0.49130434782608695,0.5260663507109005,7.0,1.4142135623730951,6,8
5,26.833333333333332,1.329160135825126,25,29,0.4644124909461744,0.04608961063132741,0.42953020134228187,0.5422535211267606,1.2645833333333334,0.06394170522176168,1.1625,1.35,0.1912202380952381,0.023007915889843307,0.15412202380952383,0.21489583333333334,0.5374791798833952,0.02773151280970102,0.49528301886792453,0.5662100456621004,6.0,3.03315017762062,1,10
6,27.5,2.810693864511039,24,32,0.4652113051597091,0.06453798809117126,0.3924050632911392,0.551948051948052,1.2583333333333333,0.09275864739562924,1.1625,1.4125,0.19435019841269843,0.026092750350294278,0.15470238095238095,0.22602678571428575,0.5368782295873209,0.035424077023700234,0.49321266968325794,0.5844748858447488,7.333333333333333,3.6147844564602556,3,13
7,26.166666666666668,4.400757510550505,21,31,0.44633524297230914,0.0358342160233422,0.4166666666666667,0.5096774193548387,1.2666666666666666,0.060034712181092964,1.2,1.35,0.20652777777777778,0.01969564665757424,0.1802529761904762,0.2333482142857143,0.5490462556014497,0.025975501078278878,0.5158371040723982,0.5813953488372093,5.5,2.4289915602982237,1,8
8,26.666666666666668,6.121002096606949,18,34,0.42918411700219666,0.04213365599800864,0.35947712418300654,0.4868421052631579,1.2729166666666667,0.05990443778775217,1.1875,1.35,0.19622271825396823,0.010696295315548209,0.18311011904761906,0.2084672619047619,0.5514643197326503,0.020667373504021765,0.5161290322580645,0.5772727272727273,6.5,2.345207879911715,3,10
9,23.4,2.5099800796022267,20,27,0.4552604818164654,0.0236488193297719,0.42857142857142855,0.49019607843137253,1.2675,0.04293891009329409,1.225,1.325,0.2070625,0.01310938680323605,0.19040178571428573,0.2215327380952381,0.5505208654955422,0.030925215250476402,0.5185185185185185,0.5844748858447488,6.4,2.8809720581775866,4,11
10,23.8,4.147288270665544,18,28,0.4504726317325938,0.02983583971769773,0.4066666666666667,0.49019607843137253,1.2550000000000001,0.05419870847169707,1.1875,1.3125,0.20701190476190473,0.019634804558838252,0.18663690476190478,0.2386309523809524,0.553412041851497,0.026307138603935295,0.527027027027027,0.5953488372093023,6.2,3.492849839314596,2,11
11,25.2,3.7013511046643495,21,30,0.4537954222164749,0.025620888762845972,0.4090909090909091,0.47368421052631576,1.2375,0.06373774391990981,1.125,1.275,0.1969642857142857,0.026095603158019533,0.15453869047619045,0.22059523809523807,0.5357760083560357,0.03630230635533374,0.4796380090497738,0.5644444444444444,4.8,3.420526275297414,0,8
12,24.8,2.588435821108957,22,28,0.45367659715326053,0.045115623246087866,0.3815789473684211,0.5,1.22,0.08225341938181059,1.15,1.35,0.20091369047619048,0.035088589306571244,0.1477827380952381,0.24366071428571426,0.5487333292277345,0.049384707000466134,0.48623853211009177,0.6203703703703703,4.8,3.96232255123179,1,11
13,24.0,4.847679857416329,17,28,0.4434839011076911,0.049985035849001526,0.38513513513513514,0.4873417721518987,1.2625,0.1030776406404415,1.1375,1.3875,0.18870535714285713,0.0431423139887824,0.1488095238095238,0.2483482142857143,0.5526033213303856,0.06655620359746142,0.4818181818181818,0.6473214285714286,4.8,3.1144823004794873,1,8
14,27.0,6.782329983125268,16,34,0.43477071042198645,0.01340467506425986,0.4195804195804196,0.45394736842105265,1.2574999999999998,0.07836214009328732,1.2,1.3875,0.19536607142857143,0.034856131275674974,0.1576190476190476,0.25188988095238096,0.5538237876985064,0.0592110422193975,0.4976958525345622,0.6511627906976745,6.0,4.123105625617661,3,13
15,24.4,5.770615218501404,17,32,0.44060925273691176,0.05140391310394316,0.36024844720496896,0.4827586206896552,1.2825,0.09379165741152025,1.1625,1.3875,0.21714880952380952,0.050706659744446395,0.1665922619047619,0.2878720238095238,0.5681960880852295,0.06115439520012532,0.4835680751173709,0.6359447004608295,7.6,4.61519230368573,1,12
16,23.4,4.827007354458868,17,30,0.43010169279321675,0.07783755653932636,0.31137724550898205,0.5068493150684932,1.3375,0.13020416659999778,1.1625,1.5125,0.22042261904761906,0.03855822262309718,0.1793154761904762,0.2756845238095238,0.5774983372466542,0.0576672323093255,0.5288461538461539,0.6454545454545455,9.4,4.929503017546495,3,15
17,25.6,4.098780306383839,19,30,0.4163269406645506,0.06962999838451232,0.29375,0.46621621621621623,1.3275000000000001,0.07925433742073688,1.225,1.425,0.21804464285714284,0.027752091697254924,0.1859672619047619,0.25145833333333334,0.5650112762296773,0.04319520232354948,0.51931330472103,0.627906976744186,8.2,3.96232255123179,4,14
18,26.8,6.457553716385176,16,32,0.4186627884992946,0.0693054733749659,0.2987012987012987,0.47368421052631576,1.325,0.07447734554883113,1.2375,1.425,0.20578869047619047,0.028234867056929912,0.17492559523809523,0.23877976190476194,0.5587709887021813,0.04497136453448516,0.5,0.6238532110091743,8.0,1.414213562373095,6,9
19,24.8,6.099180272790763,15,30,0.4337961833391426,0.08844149599483563,0.2847682119205298,0.50625,1.315,0.12667626060158235,1.2,1.5125,0.21408333333333335,0.045411246400018306,0.17805059523809524,0.2898511904761905,0.5661470769701857,0.05493912237759558,0.5201793721973094,0.6438356164383562,9.0,5.244044240850758,5,18
20,25.0,4.06201920231798,21,31,0.416152779403921,0.0720044759390176,0.29012345679012347,0.46153846153846156,1.35,0.21341713848704844,1.2,1.725,0.22230756479807115,0.04236013843963431,0.18907738095238097,0.29445449065702234,0.579176564283168,0.07051317619373203,0.5110132158590308,0.6933333333333334,9.4,8.792041856133306,4,25
21,26.6,3.3615472627943217,23,32,0.43322010209062184,0.09268628886031212,0.2746478873239437,0.5165562913907285,1.3125,0.15737097890017707,1.2,1.5875,0.21444642857142857,0.035036107228129144,0.18880952380952382,0.2746279761904762,0.5712625943206124,0.060155050422324136,0.5258215962441315,0.676056338028169,8.0,6.0,2,18
22,26.8,3.7013511046643495,22,31,0.45668707563467664,0.04030707512920276,0.38666666666666666,0.484472049689441,1.2875,0.09185586535436918,1.175,1.375,0.20485247136829415,0.0434278484340602,0.16086309523809522,0.27489583333333334,0.5644801998621721,0.05070242062333852,0.5116279069767442,0.6325581395348837,8.0,5.431390245600108,1,14
23,25.0,6.6332495807108,18,35,0.4539138987850871,0.05197395965955483,0.41935483870967744,0.5443037974683544,1.2875,0.06555055301063444,1.2125,1.3625,0.2164462778782399,0.036066121582427155,0.1808921036769138,0.26846726190476194,0.57198081370802,0.03409697659588688,0.536697247706422,0.6118721461187214,8.0,3.8078865529319543,4,12
24,26.0,6.855654600401044,19,37,0.46651394506308064,0.03849370611669546,0.42105263157894735,0.5,1.2775,0.08263246940519206,1.1875,1.375,0.20100892857142857,0.03327093836108981,0.1630952380952381,0.2542261904761905,0.5531259052916424,0.03766111166873951,0.5235849056603774,0.6164383561643836,7.0,3.5355339059327378,3,12
25,23.0,5.049752469181039,17,31,0.45028596085199857,0.05313014385196705,0.4,0.5094339622641509,1.3125,0.08705242673240077,1.2,1.4375,0.19807738095238098,0.024443850719041257,0.17419642857142859,0.22940476190476194,0.569226681743681,0.04759583274808279,0.5069124423963134,0.6232558139534884,7.0,3.7416573867739413,3,13
26,22.6,5.770615218501403,15,31,0.4762648490749757,0.07014817963388281,0.3933333333333333,0.5512820512820513,1.2625,0.11625672023586428,1.1375,1.4125,0.19282440476190477,0.02303304988359539,0.16924107142857142,0.2285416666666667,0.5575122028467099,0.04730714434738875,0.49074074074074076,0.6026785714285714,7.0,4.415880433163923,1,13
27,21.6,3.8470768123342687,17,27,0.49756207815060627,0.031888229893549475,0.45569620253164556,0.5294117647058824,1.2625,0.08244316223920578,1.1375,1.3625,0.1959248417721519,0.01505748154312776,0.17469861362266423,0.21352678571428568,0.5541685872922388,0.04346860035988409,0.4885844748858447,0.6036866359447005,6.8,2.588435821108957,3,10
28,22.6,4.03732584763727,17,28,0.46034397622563905,0.0455479315644184,0.39473684210526316,0.5067567567567568,1.2825,0.10330476755697193,1.175,1.425,0.20389779234478606,0.023046627364885285,0.18066964285714288,0.23799107142857143,0.5490653786242438,0.032881068167346865,0.5227272727272727,0.6018518518518519,6.6,3.646916505762094,2,12
29,20.6,2.6076809620810595,17,23,0.4507348859680329,0.026098779304840697,0.41975308641975306,0.49019607843137253,1.3125,0.041457809879442545,1.2625,1.35,0.21810149186256783,0.01075616945133411,0.2,0.2275297619047619,0.5845684199701322,0.019156930368929067,0.5613207547169812,0.6081081081081081,7.8,1.3038404810405297,6,9
30,25.4,2.701851217221259,22,29,0.45155109237747026,0.013745147504138886,0.43478260869565216,0.4720496894409938,1.26,0.04792572378170195,1.225,1.3375,0.20692518083182637,0.012617773438291924,0.18754464285714284,0.2200723327305606,0.5626945319635718,0.030020412411828627,0.5110132158590308,0.5822222222222222,6.8,2.16794833886788,4,9
31,24.4,3.646916505762094,20,30,0.4466763163611617,0.025722330015852272,0.41975308641975306,0.4794520547945205,1.26,0.06925947588597538,1.15,1.325,0.20727083333333335,0.02884880856584782,0.1856845238095238,0.2554464285714286,0.5521230765469991,0.04963034530867671,0.4930875576036866,0.6278026905829597,6.8,2.8635642126552705,3,11
32,25.4,5.128352561983234,19,31,0.44306956077223186,0.02779939646085014,0.4050632911392405,0.47468354430379744,1.25,0.07705517503711223,1.15,1.325,0.2005601265822785,0.03305887073148551,0.15467261904761903,0.2407172995780591,0.5510716775424127,0.051237817475446465,0.4885844748858447,0.6130434782608696,6.6,2.302172886644268,3,9
33,23.2,2.7748873851023212,19,26,0.4472392974902122,0.04715542256149626,0.3950617283950617,0.48466257668711654,1.25,0.10495534764841664,1.1125,1.375,0.20131393158529237,0.049185104244547785,0.14675595238095238,0.26953869047619045,0.5473221036287748,0.061005118124916026,0.4675324675324675,0.6343612334801763,6.0,4.358898943540674,1,11
34,23.8,4.024922359499621,18,28,0.4352055614425976,0.03318505886206134,0.4,0.475,1.2650000000000001,0.052589209919906545,1.2125,1.3375,0.20055059523809526,0.03231076795436372,0.17220238095238097,0.24971726190476193,0.5663380152657933,0.03700903907597464,0.536697247706422,0.6216216216216216,6.2,3.1144823004794873,3,10
